Scientific Name,English Name,Common Name,SEO Name,Order,Family
Leiothlypis peregrina,Tennessee warbler,Reinita de tennessee,Reinita de Tennessee,Passeriformes,Parulidae
Leistes bellicosa albipes,Peruvian meadowlark,Loica peruana,Loica peruana,Passeriformes,Icteridae
Leistes loyca loyca,Long-tailed meadowlark,Loica,Loica común,Passeriformes,Icteridae
Leistes loyca loyca,Long-tailed meadowlark,Loica,Tinamú chileno,Passeriformes,Icteridae
Leistes superciliaris,White-browed meadowlark,Loica argentina,Loica cejiblanca,Passeriformes,Icteridae
Leptasthenura aegithaloides aegithaloides,Plain-mantled tit-spinetail,Tijeral,Tijeral colinegro,Passeriformes,Furnariinae
Leptasthenura striata striata,Streaked tit-spinetail,Tijeral listado,Tijeral listado,Passeriformes,Furnariinae
Lessonia oreas,Andean negrito,Colegial del norte,Negrito andino,Passeriformes,Tyrannidae
Lessonia rufa,Austral negrito,Colegial,Negrito austral,Passeriformes,Tyrannidae
Leucophaeus atricilla megalopterus,Laughing gull,Gaviota reidora,Gaviota guanaguanare,Charadriiformes,Larinae
Leucophaeus modestus,Gray gull,Gaviota garuma,Gaviota garuma,Charadriiformes,Larinae
Leucophaeus pipixcan,Franklin's gull,Gaviota de franklin,Gaviota pipizcan,Charadriiformes,Larinae
Leucophaeus scoresbii,Dolphin gull,Gaviota austral,Gaviota patagona,Charadriiformes,Larinae
Limnodromus griseus,Short-billed dowitcher,Becacina chica,Agujeta gris,Charadriiformes,Scolopacidae
Limosa fedoa,Marbled godwit,Zarapito moteado,Aguja canela,Charadriiformes,Scolopacidae
Limosa haemastica,Hudsonian godwit,Zarapito de pico recto,Aguja café,Charadriiformes,Scolopacidae
Limosa lapponica,Bar-tailed godwit,Zarapito de cola barrada,Aguja colipinta,Charadriiformes,Scolopacidae
Lophonetta specularioides specularioides,Crested duck,Pato juarjual,Ánade juarjual,Anseriformes,Anatinae
Machetornis rixosa,Cattle tyrant,Picabuey,Picabuey,Passeriformes,Tyrannidae
Macronectes giganteus,Southern giant-petrel,Petrel gigante antártico,Abanto-marino antártico,Procellariiformes,Procellariidae
Macronectes halli,Northern giant-petrel,Petrel gigante subantártico,Abanto-marino subantártico,Procellariiformes,Procellariidae
Mareca sibilatrix,Chiloe wigeon,Pato real,Silbón overo,Anseriformes,Anatinae
Megaceryle torquata stellata,Ringed kingfisher,Martín pescador,Martín gigante neotropical,Coraciiformes,Alcedinidae
Melanodera melanodera,White-bridled finch,Yal austral,Yal cejiblanco,Passeriformes,Thraupidae
Melanodera xanthogramma xanthogramma,Yellow- bridled finch,Yal cordillerano,Yal cejiamarillo,Passeriformes,Thraupidae
Merganetta armata armata,Torrent duck,Pato cortacorrientes,Pato torrentero,Anseriformes,Anatinae
Metriopelia aymara,Golden-spotted ground dove,Tortolita de la puna,Palomita aimara,Columbiformes,Peristerinae
Metriopelia ceciliae zimmeri,Bare-faced ground dove,Tortolita boliviana,Palomita cascabelita,Columbiformes,Peristerinae
Metriopelia melanoptera melanoptera,Black-winged ground dove,Tórtola cordillerana,Palomita alinegra,Columbiformes,Peristerinae
Milvago chimango chimango,Chimango caracara,Tiuque,Caracara chimango,Falconiformes,Falconinae
Mimus dorsalis,Brown-backed mockingbird,Tenca de dorso castaño,Sinsonte castaño,Passeriformes,Mimidae
Mimus longicaudatus,Long-tailed mockingbird,Tenca de cola larga,Sinsonte colilargo,Passeriformes,Mimidae
Mimus patagonicus,Patagonian mockingbird,Tenca patagónica,Sinsonte patagón,Passeriformes,Mimidae
Mimus saturninus,Chalk-browed mockingbird,Tenca calandria,Sinsonte calandria,Passeriformes,Mimidae
Mimus thenca,Chilean mockingbird,Tenca,Sinsonte tenca,Passeriformes,Mimidae
